text,airline,prediction
@AirCanada Can I wear leggings during my flight? Just makin' sure I can. Ì†ΩÌ∏ïÌ†ΩÌ∏Ü,AirCanada,negative
RT @22_Minutes: Get your bid on: @AirCanada has auction fever. #flying #upgrade #aircanada #WestJet #auction #22minutes #FirstClass https:/‚Ä¶,AirCanada,negative
@bannisterphoto @AirCanada @Aeroplan mid drift might b to much #sexybeast,AirCanada,negative
"Hey, @AirCanada - any reason you couldn't help out with the flight costs to make this event happen? #Indigenous https://t.co/Lfl6zu1Bna",AirCanada,negative
"I highly doubt there is a better ground @AirCanada ground crew than the ladies and gents at #YQU. Friendly and quick, each and every time.",AirCanada,negative
RT @abbeyshortpants: Hey @WestJet I tweeted @AirCanada but they never responded about a delayed flight. At least I know u would have. #cust‚Ä¶,AirCanada,negative
Hey @WestJet I tweeted @AirCanada but they never responded about a delayed flight. At least I know u would have. #customerservice #humourme,AirCanada,negative
@josh_edu @aeroportsMTL @AirCanada @globeandmail   dumping fuel in the air not cool should of crashed it,AirCanada,negative
Is this what it's going to take to get wifi on all your planes @AirCanada? https://t.co/nZUUTcIfTn,AirCanada,negative
"Phew, @AirCanada to the rescue. Fired up to get on a flight that departs and arrives on time. #NotDelta",AirCanada,negative
RT @AirCanada: Bid on incredible travel opportunities in support of the Herbie Fund at @SickKids with the Wanderluxe auction: https://t.co/‚Ä¶,AirCanada,negative
"RT @CBierwirth: @AirCanada - you lost my luggage on flights AC273/859 from London to Winnipeg yesterday. No luggage delivered to me today,‚Ä¶",AirCanada,negative
@BlacksWeather it's a foggy night @FlyYOW @AirCanada kudos to all involved in ensuring passenger safety in the air‚Ä¶ https://t.co/RE5TSWCp5D,AirCanada,negative
"@AirCanada - you lost my luggage on flights AC273/859 from London to Winnipeg yesterday. No luggage delivered to me today, no call. Why?",AirCanada,negative
"Flying @AirCanada on an @Aeroplan ticket tomorrow, does anyone know if I'm ok wearing leggings? Belly shirt too much?",AirCanada,negative
"Thank you! @AirCanada Merci!  
@TorontoPearson #AirCanada 
Ì†ΩÌª´ #YYZ &gt; #YOW Ì†ΩÌª¨ https://t.co/8CSg0ORkDA",AirCanada,positive
"@DeniersJohn @AirCanada @WestJet @newleaftravel I have... nam? Like Vietnam? Have you ever even been to ""nam""",AirCanada,negative
"@ArleneDickinson @united @AirCanada Middle name "" danger "" LOL",AirCanada,negative
@AirCanada How can I rest assured when it's been 12 days since I got a reply from you guys? Can you please tell me this?,AirCanada,negative
@CamMitchell4 @AirCanada @WestJet @newleaftravel You've flown on Nancy's pass before. There are rules. This is not Nam.,AirCanada,negative
@kaleemux @yvrairport @AirCanada @ACAltitude beautiful photo !Ì†ºÌºÖ,AirCanada,positive
@BrendaSarg @ReactionMike well @vox23 and I are planning to hit up Kelowna and Peachland and the area in the summer. Thanks to @AirCanada,AirCanada,negative
@AirCanada thanks for the #aircanadavalet service while connecting through YYZ onward to CDG !,AirCanada,negative
@AirCanada got my offer to upgrade Yyz to Regina. 6 credits PLUS 150.00 Really?? No non cash offer? What'shappening? #stickittocustomers,AirCanada,negative
@bxttycoopxr @AirCanada every dollar would be worth it Ì†ΩÌ≤ïÌ†ΩÌ∏ç BJDSBDJBSNSNS,AirCanada,neutral
@ronniesreinhart EIGHT HUNDRED AND EIGHTY FOUR DOLLARS @AirCanada FIX THIS MONSTROSITY,AirCanada,negative
"Most imbecilic Customer Service quote of the day honours go to @AirCanada: If I make it right for you, I have to make it right for everyone!",AirCanada,negative
"Thanks to @AirCanada Foundation, @HiltonQuebec and @ParkNFlyCA for creating Quintessential Quebec City Live Auction‚Ä¶ https://t.co/aqz0ayr3An",AirCanada,positive
RT @FriendsOScience: @CalgaryChamber @ImperialOil @WestJet @TransCanada @AirCanada @NOVAChemicals @encana @OilGasCanada Thanks2Chamber http‚Ä¶,AirCanada,neutral
@AirCanada thank you for the info and quick response! Bike parts safely transported across the country. :),AirCanada,negative
Employees are ambassadors of an airline @AirCanada has the same rules. #UnitedAirlines. We used to have to travel i‚Ä¶ https://t.co/7F1JHwE19c,AirCanada,negative
"RT @shawnacaspi: Hey @AirCanada your instrument policy says I can stow gtr overhead if it fits WHEN I BOARD and I board early, why force me‚Ä¶",AirCanada,negative
@AirCanada just so you know your service is terrible..,AirCanada,negative
"@AirCanada Hello, how else can i contact reservations to request a special meal other than phone? I'm audially impaired and can't call- Thx",AirCanada,negative
"@mexicopv138 @AirCanada @CalgaryChamber, Great to have Monica/ Cenovus as our partner!",AirCanada,positive
Hi @AirCanada I was offered @DailyMailUK on your plane last week. Can you say a little how your brand values align? https://t.co/ueUuSWgfQV,AirCanada,negative
@DeboraSilveira @AirCanada Safe travels!,AirCanada,negative
"@AirCanada in baggage, it is 1 or 2 bags of 50lb? From NRT to SCL",AirCanada,negative
"@ArleneDickinson @united @AirCanada   this one's for you Arlene!
https://t.co/faZPOcrQGz",AirCanada,neutral
2) I used to fly @AirCanada on travel pass and wore a shirt and tie. Would do the same if I was on @united. Pretty simple request. #growup,AirCanada,negative
@shanegibson @flysaa @AirCanada perhaps a new profit maximizing effort whereby flights are sold but then not actually flown. Brilliant!,AirCanada,negative
@AirCanada they finally located the entire missing cart of Priority luggage. Just disappointed that I paid for Priority and last to leave.,AirCanada,negative
Can you tell us why when someone has missed their connecting flight in Japan due to a 2hr delay @YVR and @AirCanada does nothing to help?,AirCanada,negative
@mustbejp @AirCanada Priorities !,AirCanada,neutral
"Hey @AirCanada your instrument policy says I can stow gtr overhead if it fits WHEN I BOARD and I board early, why force me to gate check? :(",AirCanada,negative
I'm at @AirCanada Mezanine Office 249 https://t.co/VzyJZaGJXY https://t.co/uAk8Q8qYyX,AirCanada,negative
Heartbreaking cruelty #Canada you are a disgrace @ExploreCanada @tourismcanada @AirCanada @JustinTrudeau slaughter‚Ä¶ https://t.co/NNOH62V86j,AirCanada,negative
@ACDeniseFlemig  Thank you to @AirCanada for the invite to @CalgaryChamber luncheon!,AirCanada,positive
Counting on you once again to get me there safe @AirCanada #AC793 Ì†ΩÌª´YYZ Ì†ΩÌª¨ LAX Ì†ΩÌπè https://t.co/AH2ZPkWiQF,AirCanada,negative
@DarrinBauming Wow!!! Awesome. @AirCanada is posting short video soon. (Spoiler: It's pretty awesome),AirCanada,negative
"RT @ArleneDickinson: Hey @united. I'm on @aircanada right now.  I'm wearing leggings AND using my laptop. 

Never thought I would be so gla‚Ä¶",AirCanada,negative
Thanks to the great staff @clubsportifmaa for the workout before hitting a 6 hour @AirCanada flight. #ImpatientTraveller,AirCanada,negative
4) Both @flysaa and @AirCanada sites tell me to checkin on the other and both won't let me go home. #fail #scam,AirCanada,negative
3) @AirCanada you sell airlines tickets on your site where people cannot checkin to get back to #Canada??!!!,AirCanada,negative
Japan trip went well until @AirCanada lost an entire cart of priority luggage.,AirCanada,negative
2) @AirCanada sells me a ticket where both @flysaa and @aircanada websites will not allow me to check-in to get home from Africa .,AirCanada,negative
1) Bought a roundtrip ticket from YVR to JHB from @Aircanada and both @Aircanada and @flysaa will not let checkin to home,AirCanada,negative
The new @AirCanada livery with the black belly and black tailplane is sharp! ‚úàÔ∏èÌ†ΩÌ±åÌ†ºÌøº #FlyTheFlag https://t.co/XZkyExrLcO,AirCanada,negative
Frank @aircanada Laguardia. You rocked it today my friend. Thanks for squeezing us in on an earlier flight.,AirCanada,negative
@British_Airways you just proved again what a poor service you have become. You can't hold a candle to @AirCanada #delayed #nocrew,AirCanada,negative
@coachkarinab @AirCanada You feel our pain.,AirCanada,negative
"RT @SecretFlying: SUMMER: Boston to Copenhagen, Denmark for only $322 roundtrip with @AirCanada &amp; @FlySWISS

https://t.co/zokyy0yhtU https:‚Ä¶",AirCanada,neutral
"Damn, @AirCanada u really need to get right.#LGA is out of control.Delays r norm, disorganized, overcrowded, awful‚Ä¶ https://t.co/pUtrmixXB8",AirCanada,negative
RT @AGZ_wandering: @AirCanada it would be wonderful if once just once in a while the flight that I am on not be delayed or cancelled for me‚Ä¶,AirCanada,negative
RT @AirCanada: ICYMI: Employees had a blast w/ 11-year old Nick at YYC after asking for our CEOs plane advice #AvGeek @CTVCalgary https://t‚Ä¶,AirCanada,negative
My @AirCanada ‚úàto #LIM is about to depart @TorontoPearson,AirCanada,neutral
